NAME,HETNAME,SELECTED,RA,DEC,DDIST,DISTERR,MBH,DMBH,UPPERLIMIT,SIG,DSIG,LK,DLK,R50,DR50,LKOR,DLKOR,C28,DC28,LAGN,DLAGN,CR50LK,CR50C28,CLKC28,CLKORC28,TYPE,REF,HETMGSSIG,HETMGSDSIG,Z,DZ,SCALE
MW,MW,-3,-1234,-1234,0.008,0.001,6.632999897,0.048,0,2.004499912,0.0854,-1234,nan,-1234,nan,-1234,nan,-1234,nan,-1234,nan,-1234,-1234,-1234,-1234,star,"ghez08,gillessen09",-1234,-1234,nan,nan,nan
A1836BCG,PGC049940,1,210.4244385,-11.60698986,152.3999939,8.425999641,9.572999954,0.061000001,0,2.458899975,0.0211,11.74576187,0.0619631,0.894908607,0.063582703,10.85085583,0.0388202,4.901415348,0.458298504,-8.304242134,8.60E-06,0.0031876,0.017033599,0.0133393,-0.0036943,gas,dalla-bonta09,245.1000061,16.60000038,0.03669,0.00004,0.733
A3565BCG,IC4296,1,204.1627197,-33.96591568,49.20000076,3.628000021,9.11400032,0.072999999,0,2.5072999,0.021600001,11.83047104,0.074968301,0.977801085,0.061846599,10.85266685,0.039936099,5.302917957,0.217240497,-9.301697731,3.80E-06,0.0039252,0.008929,0.0048756,-0.0040533,gas,dalla-bonta09,-1234,-1234,0.01247,0.00003,0.257
Circinus,ESO097-013,1,213.2913055,-65.33899689,2.819999933,0.469999999,6.05700016,0.104999997,0,2.195800066,0.049699999,10.21880245,0.117883801,0.176689804,0.125314206,10.04211044,0.089549497,6.731403828,0.617741227,-11.91258812,9.60E-06,0.0107906,0.063507698,0.023966299,-0.0395413,maser,greenhill03,-1234,-1234,0.00145,0.00001,0.03
IC1459,IC1459,1,344.2945251,-36.46247864,28.92000008,3.739000082,9.394000053,0.079000004,0,2.531500101,0.0221,11.64036179,0.105521299,0.799116313,0.077636197,10.84124374,0.050792601,5.935264111,0.276822388,-9.762447357,6.70E-06,0.0072911,0.01519,0.0118755,-0.0033145,star,cappellari02,-1234,-1234,0.00601,0.00004,0.125
NGC0221,NGC0221,1,10.67426968,40.86516953,0.805000007,0.029999999,6.388999939,0.193000004,0,1.87469995,0.0174,9.110001564,0.040655401,-0.902832627,0.0408081,10.0128336,0.023189601,4.9769907,0.318778187,-12.88163662,4.80E-06,0.0013902,0.0112423,0.0072654,-0.0039769,star,vdb10,63.40000153,12.39999962,-0.00071,0.00001,-0.015
NGC0224,NGC0224,-3,10.68480015,41.26887894,0.773999989,0.032000002,8.154999733,0.160999998,0,2.20359993,0.0217,10.69064331,0,0.220848903,0,10.56654167,0.0395354,4.166924,0.388351709,-12.91576767,1.15E-05,0.0058523,-0.0072331,-0.0117392,-0.0045062,star,bender05,185.3000031,3.400000095,-0.001,0,-0.021
NGC0524,NGC0524,1,21.19877815,9.53879261,24.21999931,2.233999968,8.937999725,0.052999999,0,2.370500088,0.0222,11.29379272,0.081241801,0.555525005,0.069100402,10.73826885,0.0440837,4.749590397,0.3559241,-9.922974586,6.70E-06,0.0047159,0.0181504,0.0096825,-0.0084679,star,krajnovic09,244.6000061,5.199999809,0.00802,0.00002,0.166
NGC0821,NGC0821,1,32.08812332,10.99487019,23.44000053,1.837000012,8.217000008,0.209999993,0,2.319600105,0.0208,11.13510895,0.084888399,0.823700786,0.094333,10.311409,0.051831499,5.850487709,0.285317391,-9.953904152,8.60E-06,0.0067091,0.0160881,0.0082434,-0.0078447,star,schulze11,214.8999939,6.800000191,0.00579,0.00001,0.12
NGC1023,NGC1023,1,40.10005188,39.0632515,10.81000042,0.796999991,7.616000175,0.055,0,2.221999884,0.021199999,10.9388504,0.074661002,0.492091089,0.096489601,10.44675827,0.057311598,5.923914909,0.388258994,-10.62389755,4.80E-06,0.0057999,0.032607399,0.015956201,-0.0166511,star,bower01,211,3.200000048,0.00212,0.00001,0.044
NGC1194,NGC1194,1,45.95458221,-1.103608966,57.97999954,6.298999786,7.849999905,0.050999999,0,2.170000076,0.07,11.06203747,0.086385399,0.739411116,0.061916102,10.32262897,0.051109798,5.797703743,0.361462504,9.536478996,1.889500022,0.0043419,0.0101442,0.0042034,-0.0059408,maser,kuo11,170.8000031,4.900000095,0.01363,0.00001,0.28
NGC1300,NGC1300,0,49.92134857,-19.41110039,21.5,9.383999825,7.877999783,0.342999995,0,2.338000059,0.0199,11.04512691,0.339172512,1.094331264,0.1726868,9.950795174,0.171858504,3.382808208,0.397704393,-10.02235126,4.80E-06,0.057661701,0.0047639,0.0036004,-0.0011635,gas,atkinson05,-1234,-1234,0.00526,0.00001,0.109
NGC1316,NGC1316,1,50.67412186,-37.20819855,18.60000038,0.600000024,8.175999641,0.254000008,0,2.353600025,0.021199999,11.90840721,0.064411499,1.200504661,0.129388303,10.70790386,0.073038101,6.018314838,0.253543198,-10.14787292,1.34E-05,0.0077778,0.0124181,0.0061461,-0.006272,star,nowak08,-1234,-1234,0.00601,0.00001,0.125
NGC1332,NGC1332,1,51.57217026,-21.33536911,22.29999924,1.850999951,8.828499794,0.041900001,0,2.515399933,0.021199999,11.31476212,0.082240798,0.675197601,0.1186551,10.63956261,0.062999003,6.851022243,0.633676112,-9.990721703,2.90E-06,0.0084369,0.071425803,0.0381235,-0.033302199,CO,barth16b,-1234,-1234,0.0054,0.00002,0.112
NGC1374,NGC1374,1,53.81915665,-35.22624969,19.22999954,0.654999971,8.762999535,0.061999999,0,2.307499886,0.022500001,10.67438602,0.0268487,0.237075701,0.025050901,10.43731308,0.0210329,5.216870785,0.284779787,-10.11822605,2.90E-06,0.000453,0.002095,0.0013848,-0.0007102,star,rusli13,-1234,-1234,0.00432,0.00001,0.09
NGC1399,NGC1399,1,54.62118149,-35.45074081,20.85000038,0.671999991,8.944999695,0.305999994,0,2.52760005,0.022,11.53859043,0.053751901,0.743366301,0.092837602,10.79522324,0.048420802,5.578610897,0.378386497,-10.04765415,1.15E-05,0.0045818,0.032969698,0.0167963,-0.0161734,star,"gebhardt07,houghton06",-1234,-1234,0.00475,0.00001,0.099
NGC1407,NGC1407,1,55.04959869,-18.58037949,28.04999924,3.367000103,9.652999878,0.079000004,0,2.451800108,0.0222,11.72316742,0.118665002,0.972934484,0.109921403,10.75023174,0.076771103,5.423727036,0.477877706,-9.793697357,1.05E-05,0.0101351,0.0420136,0.017690999,-0.0243227,star,rusli13,-1234,-1234,0.00593,0.00003,0.123
NGC1550,NGC1551,1,64.90800476,2.409883022,51.56999969,5.603000164,9.56799984,0.067000002,0,2.480000019,0.021199999,11.31958008,0.096509598,0.661172926,0.082997903,10.65841103,0.047621101,5.770559788,0.391279399,-9.266841888,1.05E-05,0.0069675,0.0193354,0.0136454,-0.00569,star,rusli13,334.5,9.899999619,0.0124,0.00006,0.255
NGC2273,NGC2273,1,102.5360947,60.8456955,29.5,1.902999997,6.934999943,0.035999998,0,2.160000086,0.050099999,10.98016453,0.073713303,0.6034832,0.089733802,10.37667942,0.049399,5.8139081,0.479293615,0.447810203,9.275406837,0.0055228,0.030306,0.016779199,-0.0135267,maser,kuo11,112.5,6.599999905,0.00614,0.00001,0.127
NGC2549,NGC2549,1,124.7431107,57.80310822,12.69999981,1.64199996,7.160999775,0.367000014,0,2.15199995,0.021199999,10.2857542,0.100285001,0.046309099,0.053398799,10.23944569,0.053410701,5.352852821,0.235755995,-10.48405361,1.25E-05,0.0050279,0.0016567,0.001241,-0.0004157,star,krajnovic09,147.5,3.799999952,0.00351,0.00002,0.073
